x,y,z,Class,type,className,color
-17.41176,13.612346,2.191855,0,train,Chinese,#F24443
-6.8758492,2.4662745,-8.940634,0,train,Chinese,#F24443
-18.39575,13.077006,4.2054806,0,train,Chinese,#F24443
-14.116426,14.428591,4.3584957,0,train,Chinese,#F24443
-5.787235,19.168621,11.234888,0,train,Chinese,#F24443
7.391101,-0.78455067,21.669483,0,train,Chinese,#F24443
-18.277983,12.675532,4.0079737,0,train,Chinese,#F24443
-10.257317,3.772295,-6.5440392,0,train,Chinese,#F24443
-8.687203,16.387316,8.768773,0,train,Chinese,#F24443
-0.055320065,9.3043585,-11.471014,0,train,Chinese,#F24443
-3.6319373,0.9469231,-22.061007,0,train,Chinese,#F24443
-8.665255,-18.46883,8.163609,0,train,Chinese,#F24443
-16.946491,1.189425,-6.844831,0,train,Chinese,#F24443
-12.623403,-8.16274,-7.4426565,0,train,Chinese,#F24443
-13.548597,-4.082646,-14.246867,0,train,Chinese,#F24443
-14.808442,-6.285459,8.980038,0,train,Chinese,#F24443
-8.496501,2.4718904,-18.19578,0,train,Chinese,#F24443
13.500629,13.546524,-14.479099,0,train,Chinese,#F24443
-14.275006,12.07495,-10.16409,0,train,Chinese,#F24443
-9.071308,4.6946535,-15.057767,0,train,Chinese,#F24443
-3.2146533,5.424689,-24.113546,0,train,Chinese,#F24443
-9.668564,-4.8754597,-7.5816274,0,train,Chinese,#F24443
-4.697279,-1.4068736,-20.83864,0,train,Chinese,#F24443
-12.892686,-4.344976,-6.5425153,0,train,Chinese,#F24443
